Open time,Open,High,Low,Close,Volume,Bull power,Bear power,-----,Money,Coins

1.661990400000000000e+12,1.554109999999999900e+03,1.599000000000000000e+03,1.512769999999999982e+03,1.586160000000000082e+03,7.287104819999999600e+05,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662076800000000000e+12,1.586170000000000073e+03,1.650000000000000000e+03,1.546410000000000082e+03,1.575349999999999909e+03,9.190096598000000231e+05,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662163200000000000e+12,1.575349999999999909e+03,1.582710000000000036e+03,1.534279999999999973e+03,1.557460000000000036e+03,3.213972188999999780e+05,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662249600000000000e+12,1.557450000000000045e+03,1.583660000000000082e+03,1.540660000000000082e+03,1.579279999999999973e+03,2.965911166000000085e+05,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662336000000000000e+12,1.579289999999999964e+03,1.631990000000000009e+03,1.556559999999999945e+03,1.617799999999999955e+03,5.034929369999999763e+05,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662422400000000000e+12,1.617799999999999955e+03,1.687400000000000091e+03,1.555000000000000000e+03,1.559009999999999991e+03,1.010722857799999998e+06,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.662508800000000000e+12,1.559009999999999991e+03,1.657500000000000000e+03,1.490660000000000082e+03,1.630000000000000000e+03,8.509914242999999551e+05,7.106285714285718313e+01,-9.577714285714273501e+01,1.668399999999999181e+02,9.984007114849999780e+05,1.000000000000000000e+00
1.662595200000000000e+12,1.630000000000000000e+03,1.663559999999999945e+03,1.595059999999999945e+03,1.635369999999999891e+03,6.451240084999999963e+05,7.009285714285692848e+01,1.592857142856928476e+00,6.850000000000000000e+01,9.967631284299999243e+05,2.000000000000000000e+00
1.662681600000000000e+12,1.635369999999999891e+03,1.746130000000000109e+03,1.630509999999999991e+03,1.718230000000000018e+03,8.374582125999999698e+05,1.214721428571428987e+02,5.852142857142780485e+00,1.156200000000001182e+02,9.950812980299999472e+05,3.000000000000000000e+00
1.662768000000000000e+12,1.718240000000000009e+03,1.789000000000000000e+03,1.706029999999999973e+03,1.774119999999999891e+03,4.110462466000000131e+05,1.269766071428571195e+02,4.400660714285709219e+01,8.297000000000002728e+01,9.933298794899999630e+05,4.000000000000000000e+00
1.662854400000000000e+12,1.774119999999999891e+03,1.789000000000000000e+03,1.720099999999999909e+03,1.766109999999999900e+03,4.092877262999999803e+05,1.009549553571430351e+02,3.205495535714294419e+01,6.890000000000009095e+01,9.915544541449999670e+05,5.000000000000000000e+00
1.662940800000000000e+12,1.766119999999999891e+03,1.783000000000000000e+03,1.693000000000000000e+03,1.716369999999999891e+03,6.307746032000000123e+05,8.787371651785724680e+01,-2.126283482142753201e+00,9.000000000000000000e+01,9.898079854099999648e+05,6.000000000000000000e+00
1.663027200000000000e+12,1.716369999999999891e+03,1.760509999999999991e+03,1.560539999999999964e+03,1.574400000000000091e+03,1.134549725600000005e+06,9.556528738839301695e+01,-1.044047126116070103e+02,1.999700000000000273e+02,9.881576642549999524e+05,7.000000000000000000e+00
1.663113600000000000e+12,1.574400000000000091e+03,1.647009999999999991e+03,1.552380000000000109e+03,1.638390000000000100e+03,7.645625392999999458e+05,-1.129603445870543510e+01,-1.059260344587053169e+02,9.462999999999988177e+01,9.897592400699999416e+05,6.000000000000000000e+00
1.663200000000000000e+12,1.638400000000000091e+03,1.655200000000000045e+03,1.458000000000000000e+03,1.472750000000000000e+03,1.335499804699999979e+06,4.328297415597103281e+01,-1.539170258440290127e+02,1.972000000000000455e+02,9.881989983449999709e+05,7.000000000000000000e+00
1.663286400000000000e+12,1.472759999999999991e+03,1.483349999999999909e+03,1.405519999999999982e+03,1.433900000000000091e+03,6.935972425000000512e+05,-8.406276938302198687e+01,-1.618927693830219141e+02,7.782999999999992724e+01,9.896479683550000191e+05,6.000000000000000000e+00
1.663372800000000000e+12,1.433900000000000091e+03,1.476130000000000109e+03,1.409119999999999891e+03,1.468829999999999927e+03,4.213913743000000250e+05,-6.663707703726640830e+01,-1.336470770372666266e+02,6.701000000000021828e+01,9.910949792600000510e+05,5.000000000000000000e+00
1.663459200000000000e+12,1.468819999999999936e+03,1.469630000000000109e+03,1.325549999999999955e+03,1.334509999999999991e+03,8.041134679999999935e+05,-2.107280777794994719e+01,-1.651528077779501018e+02,1.440800000000001546e+02,9.924924392650000518e+05,4.000000000000000000e+00
1.663545600000000000e+12,1.334509999999999991e+03,1.393349999999999909e+03,1.280000000000000000e+03,1.375980000000000018e+03,9.748551979999999749e+05,-6.867210583346241037e+01,-1.820221058334623194e+02,1.133499999999999091e+02,9.938436185300000943e+05,3.000000000000000000e+00
1.663632000000000000e+12,1.375980000000000018e+03,1.384779999999999973e+03,1.312710000000000036e+03,1.322930000000000064e+03,6.580271465000000317e+05,-4.246907937509672593e+01,-1.145390793750966623e+02,7.206999999999993634e+01,9.951890251650001155e+05,2.000000000000000000e+00
1.663718400000000000e+12,1.322940000000000055e+03,1.408900000000000091e+03,1.220000000000000000e+03,1.245779999999999973e+03,1.192266737900000066e+06,2.701819046867763063e+01,-1.618818095313224603e+02,1.889000000000000909e+02,9.939008120850000996e+05,3.000000000000000000e+00
1.663804800000000000e+12,1.245789999999999964e+03,1.350079999999999927e+03,1.237319999999999936e+03,1.326460000000000036e+03,9.042822724999999627e+05,-1.794635714849187025e+01,-1.307063571484918612e+02,1.127599999999999909e+02,9.951830787100001471e+05,2.000000000000000000e+00
1.663891200000000000e+12,1.326470000000000027e+03,1.360000000000000000e+03,1.262150000000000091e+03,1.327250000000000000e+03,9.740523643999999622e+05,2.167732138631208727e+00,-9.568226786136870032e+01,9.784999999999990905e+01,9.938522381300001871e+05,3.000000000000000000e+00
1.663977600000000000e+12,1.327240000000000009e+03,1.349329999999999927e+03,1.306519999999999982e+03,1.317130000000000109e+03,5.175573497000000207e+05,1.673299103973249657e+00,-4.113670089602669577e+01,4.280999999999994543e+01,9.925260865750001976e+05,4.000000000000000000e+00
1.664064000000000000e+12,1.317130000000000109e+03,1.337000000000000000e+03,1.269269999999999982e+03,1.294630000000000109e+03,5.155338409000000102e+05,2.599974327979907684e+00,-6.513002567202011051e+01,6.773000000000001819e+01,9.912162889350001933e+05,5.000000000000000000e+00
1.664150400000000000e+12,1.294619999999999891e+03,1.340420000000000073e+03,1.277849999999999909e+03,1.336170000000000073e+03,7.991664333000000333e+05,5.577480745984985333e+00,-5.699251925401517838e+01,6.257000000000016371e+01,9.898969477500001667e+05,6.000000000000000000e+00
